original_file,reusable_template,status,notes
Bedtools2_BamToBed(1).sh,scripts/03_bam_bed_processing/bedtools_bam_to_bed.sh,cleaned,Hard-coded BAM/BED paths replaced with variables.
Bedtools2_BedSorter.sh,scripts/03_bam_bed_processing/sort_bed.sh,cleaned,Standardized sortBed template.
Bedtools2_BedSorter_forLoop.sh,scripts/03_bam_bed_processing/sort_bed_loop.sh,cleaned,Generalized directory/glob loop.
Bedtools2_BedToBam.sh,scripts/03_bam_bed_processing/bedtools_bed_to_bam.sh,cleaned,Genome file moved to shared reference config.
Bedtools2_GenomeFileMaker.sh,scripts/10_utilities/create_genome_file_from_fai.sh,corrected,Historical command did not create a BEDTools genome file; reusable version derives name/length columns from FASTA .fai.
Bedtools2_GetFastaFromRegion.sh,scripts/06_interval_analysis/bedtools_getfasta.sh,cleaned,Reference FASTA moved to config.
Bedtools2_RandomRegionGenerator.sh,scripts/06_interval_analysis/bedtools_random_regions.sh,corrected,Fixed REGION_LENGTH variable-name mismatch.
Bedtools2_closestBed-filter_forLoop.sh,scripts/06_interval_analysis/filter_closest_gene_rows_loop.sh,review_required,Generalized loop; GFF/GTF field condition should be confirmed for each annotation format.
Bedtools2_closestBed_forLoop.sh,scripts/06_interval_analysis/bedtools_closest_features_loop.sh,cleaned,Generalized input pattern/output directory and annotation path.
Bedtools2_intersect-Nonoverlapping.sh,scripts/06_interval_analysis/bedtools_intersect_nonoverlap.sh,cleaned,Reusable -v intersection template.
Bedtools2_intersect-Overlapping.sh,scripts/06_interval_analysis/bedtools_intersect_overlap.sh,cleaned,Reusable -wa overlap template.
Bedtools2_intersect-QuantifyOverlaps.sh,scripts/06_interval_analysis/bedtools_intersect_count_overlaps.sh,cleaned,Reusable count-overlap template.
Bedtools2_slop_PrintFasta (1).sh,scripts/06_interval_analysis/bedtools_slop_regions.sh,duplicate,Duplicate of Bedtools2_slop_PrintFasta.sh; consolidated.
Bedtools2_slop_PrintFasta.sh,scripts/06_interval_analysis/bedtools_slop_regions.sh,cleaned,Reusable summit/region extension template.
Bowtie1_Alignment-PairedEnd.sh,scripts/02_reference_and_alignment/bowtie1_align_paired_end.sh,corrected,Filled missing input pattern and standardized Bowtie1 paired-end syntax.
Bowtie1_Alignment_SingleEnd.sh,scripts/02_reference_and_alignment/bowtie1_align_single_end.sh,corrected,Fixed malformed output/redirection syntax.
Bowtie1_IndexBuilder.sh,scripts/02_reference_and_alignment/bowtie1_build_index.sh,cleaned,Index prefix and FASTA moved to config.
Bowtie2_Alignment-SingleEnd.sh,scripts/02_reference_and_alignment/bowtie2_align_single_end.sh,corrected,Added -U for single-end reads and explicit output.
Bowtie2_IndexBuilder.sh,scripts/02_reference_and_alignment/bowtie2_build_index.sh,corrected,"Corrected bowtie2-build argument order: reference first, index prefix second."
Cat_forLoop.sh,scripts/03_bam_bed_processing/concatenate_replicate_beds.sh,cleaned,Generalized replicate list and input directory.
ChIP_Pipeline-PairedEnd-forLoop.sh,scripts/workflows/chipseq_paired_end_loop.sh,corrected,Fixed bedtools conversion; removed deprecated duplicate-removal assumption from reusable workflow.
ChIP_Pipeline-PairedEnd.sh,scripts/workflows/chipseq_paired_end.sh,corrected,"Fixed bamCoverage input (BAM, not BAI) and bedtools conversion."
ChIP_Pipeline-SingleEnd_forLoop.sh,scripts/workflows/chipseq_single_end_loop.sh,corrected,Fixed bedtools conversion and separated duplicate-handling choice.
FastQC (1).sh,scripts/01_qc/fastqc.sh,cleaned,Generalized input/output and thread usage.
FastaToGenome (1).sh,scripts/10_utilities/create_genome_file_from_fai.sh,corrected,"Historical code parsed a .fai as if it were FASTA; replaced with cut -f1,2."
